year,date,count
2008,2008-07-06,813
2008,2008-07-07,1140
2008,2008-07-08,1312
2008,2008-07-09,1177
2008,2008-07-10,1026
2008,2008-07-11,1349
2008,2008-07-12,1067
2008,2008-07-13,1019
2008,2008-07-14,1175
2008,2008-07-15,996
2008,2008-07-16,945
2008,2008-07-17,982
2008,2008-07-18,1148
2008,2008-07-19,1189
2008,2008-07-20,865
2008,2008-07-21,1300
2008,2008-07-22,979
2008,2008-07-23,1046
2008,2008-07-24,1173
2008,2008-07-25,1341
2008,2008-07-26,1104
2008,2008-07-27,955
2008,2008-07-28,1164
2008,2008-07-29,1129
2008,2008-07-30,1032
2008,2008-07-31,1104
2008,2008-08-01,1342
2008,2008-08-02,1187
2008,2008-08-03,861
2008,2008-08-04,1315
2008,2008-08-05,1162
2008,2008-08-06,1086
2008,2008-08-07,1173
2008,2008-08-08,1549
2008,2008-08-09,1202
2008,2008-08-10,840
2008,2008-08-11,1149
2008,2008-08-12,1126
2008,2008-08-13,1169
2008,2008-08-14,1412
2008,2008-08-15,1063
2008,2008-08-16,1375
2008,2008-08-17,823
2008,2008-08-18,1107
2008,2008-08-19,1053
2008,2008-08-20,1034
2008,2008-08-21,1037
2008,2008-08-22,1065
2008,2008-08-23,1033
2008,2008-08-24,888
2008,2008-08-25,1082
2008,2008-08-26,1030
2008,2008-08-27,1049
2008,2008-08-28,984
2008,2008-08-29,1741
2008,2008-08-30,1067
2008,2008-08-31,876
2008,2008-09-01,1303
2008,2008-09-02,1081
2008,2008-09-03,1078
2008,2008-09-04,1101
2008,2008-09-05,1279
2008,2008-09-06,1056
2008,2008-09-07,803
2008,2008-09-08,1748
2008,2008-09-09,1197
2008,2008-09-10,1104
2008,2008-09-11,1203
2008,2008-09-12,1233
2008,2008-09-13,992
2008,2008-09-14,640
2008,2008-09-15,1304
2008,2008-09-16,1414
2008,2008-09-17,1392
2008,2008-09-18,1111
2008,2008-09-19,1509
2008,2008-09-20,1126
2008,2008-09-21,1058
2008,2008-09-22,1316
2008,2008-09-23,1369
2008,2008-09-24,1256
2008,2008-09-25,1168
2008,2008-09-26,1470
2008,2008-09-27,1152
2008,2008-09-28,802
2008,2008-09-29,1250
2008,2008-09-30,1272
2008,2008-10-01,1426
2008,2008-10-02,1197
2008,2008-10-03,1472
2008,2008-10-04,1253
2008,2008-10-05,813
2008,2008-10-06,1316
2008,2008-10-07,1217
2008,2008-10-08,1120
2008,2008-10-09,1245
2008,2008-10-10,1424
2008,2008-10-11,1172
2008,2008-10-12,960
2008,2008-10-13,1269
2008,2008-10-14,1418
2008,2008-10-15,1126
2008,2008-10-16,1465
2008,2008-10-17,1712
2008,2008-10-18,1034
2008,2008-10-19,788
2008,2008-10-20,1168
2008,2008-10-21,1249
2008,2008-10-22,1266
2008,2008-10-23,1454
2008,2008-10-24,1322
2008,2008-10-25,995
2008,2008-10-26,835
2008,2008-10-27,1404
2008,2008-10-28,1263
2008,2008-10-29,1482
2008,2008-10-30,1680
2008,2008-10-31,1610
2008,2008-11-01,1031
2008,2008-11-02,747
2008,2008-11-03,1075
2008,2008-11-04,1126
2008,2008-11-05,1147
2008,2008-11-06,1119
2008,2008-11-07,1258
2008,2008-11-08,1124
2008,2008-11-09,852
2008,2008-11-10,1118
2008,2008-11-11,628
2008,2008-11-12,1111
2008,2008-11-13,1040
2008,2008-11-14,1306
2008,2008-11-15,1047
2008,2008-11-16,879
2008,2008-11-17,1368
2008,2008-11-18,1207
2008,2008-11-19,1478
2008,2008-11-20,1629
2008,2008-11-21,1666
2008,2008-11-22,1523
2008,2008-11-23,959
2008,2008-11-24,1160
2008,2008-11-25,1193
2008,2008-11-26,1163
2008,2008-11-27,1240
2008,2008-11-28,1475
2008,2008-11-29,1206
2008,2008-11-30,773
2008,2008-12-01,1442
2008,2008-12-02,1161
2008,2008-12-03,1260
2008,2008-12-04,1385
2008,2008-12-05,1444
2008,2008-12-06,1180
2008,2008-12-07,775
2008,2008-12-08,1316
2008,2008-12-09,1168
2008,2008-12-10,1123
2008,2008-12-11,1222
2008,2008-12-12,1424
2008,2008-12-13,960
2008,2008-12-14,728
2008,2008-12-15,1421
2008,2008-12-16,1285
2008,2008-12-17,1385
2008,2008-12-18,1444
