year,date,count
2007,2007-12-10,27
2007,2007-12-11,23
2007,2007-12-12,23
2007,2007-12-13,16
2007,2007-12-14,17
2007,2007-12-15,15
2007,2007-12-16,9
2007,2007-12-17,22
2007,2007-12-18,20
2007,2007-12-19,20
2007,2007-12-20,19
2007,2007-12-21,29
2007,2007-12-22,12
2007,2007-12-23,4
2007,2007-12-24,7
2007,2007-12-25,3
2007,2007-12-26,2
2007,2007-12-27,10
2007,2007-12-28,16
2007,2007-12-29,17
2007,2007-12-30,8
2007,2007-12-31,16
2008,2008-01-01,6
2008,2008-01-02,8
2008,2008-01-03,8
2008,2008-01-04,8
2008,2008-01-05,2
2008,2008-01-06,2
2008,2008-01-07,10
2008,2008-01-08,16
2008,2008-01-09,16
2008,2008-01-10,18
2008,2008-01-11,18
2008,2008-01-12,12
2008,2008-01-13,13
2008,2008-01-14,22
2008,2008-01-15,12
2008,2008-01-16,24
2008,2008-01-17,14
2008,2008-01-18,27
2008,2008-01-19,13
2008,2008-01-20,5
2008,2008-01-21,20
2008,2008-01-22,21
2008,2008-01-23,12
2008,2008-01-24,8
2008,2008-01-25,21
2008,2008-01-26,16
2008,2008-01-27,3
2008,2008-01-28,9
2008,2008-01-29,17
2008,2008-01-30,13
2008,2008-01-31,13
2008,2008-02-01,20
2008,2008-02-02,12
2008,2008-02-03,3
2008,2008-02-04,23
2008,2008-02-05,18
2008,2008-02-06,17
2008,2008-02-07,21
2008,2008-02-08,20
2008,2008-02-09,15
2008,2008-02-10,8
2008,2008-02-11,22
2008,2008-02-12,13
2008,2008-02-13,7
2008,2008-02-14,17
2008,2008-02-15,12
2008,2008-02-16,5
2008,2008-02-17,3
2008,2008-02-18,14
2008,2008-02-19,17
2008,2008-02-20,8
2008,2008-02-21,8
2008,2008-02-22,23
2008,2008-02-23,23
2008,2008-02-24,18
2008,2008-02-25,23
2008,2008-02-26,28
2008,2008-02-27,22
2008,2008-02-28,11
2008,2008-02-29,21
2008,2008-03-01,11
2008,2008-03-02,5
2008,2008-03-03,14
2008,2008-03-04,14
2008,2008-03-05,12
2008,2008-03-06,23
2008,2008-03-07,20
2008,2008-03-08,21
2008,2008-03-09,10
2008,2008-03-10,29
2008,2008-03-11,24
2008,2008-03-12,21
2008,2008-03-13,15
2008,2008-03-14,18
2008,2008-03-15,16
2008,2008-03-16,13
2008,2008-03-17,19
2008,2008-03-18,21
2008,2008-03-19,15
2008,2008-03-20,18
2008,2008-03-21,19
2008,2008-03-22,17
2008,2008-03-23,6
2008,2008-03-24,3
2008,2008-03-25,14
2008,2008-03-26,15
2008,2008-03-27,18
2008,2008-03-28,20
2008,2008-03-29,12
2008,2008-03-30,20
2008,2008-03-31,36
2008,2008-04-01,27
2008,2008-04-02,14
2008,2008-04-03,25
2008,2008-04-04,22
2008,2008-04-05,20
2008,2008-04-06,15
2008,2008-04-07,26
2008,2008-04-08,27
2008,2008-04-09,27
2008,2008-04-10,25
2008,2008-04-11,35
2008,2008-04-12,19
2008,2008-04-13,15
2008,2008-04-14,30
2008,2008-04-15,31
2008,2008-04-16,21
2008,2008-04-17,34
2008,2008-04-18,30
2008,2008-04-19,11
2008,2008-04-20,15
2008,2008-04-21,26
2008,2008-04-22,24
2008,2008-04-23,44
2008,2008-04-24,45
2008,2008-04-25,36
2008,2008-04-26,28
2008,2008-04-27,21
2008,2008-04-28,41
2008,2008-04-29,40
2008,2008-04-30,54
2008,2008-05-01,19
2008,2008-05-02,42
2008,2008-05-03,25
2008,2008-05-04,21
2008,2008-05-05,39
2008,2008-05-06,53
2008,2008-05-07,50
2008,2008-05-08,38
2008,2008-05-09,58
2008,2008-05-10,50
2008,2008-05-11,35
2008,2008-05-12,59
2008,2008-05-13,40
2008,2008-05-14,49
2008,2008-05-15,51
2008,2008-05-16,47
2008,2008-05-17,34
2008,2008-05-18,15
2008,2008-05-19,31
2008,2008-05-20,35
2008,2008-05-21,49
2008,2008-05-22,4
2008,2008-05-23,36
2008,2008-05-24,27
2008,2008-05-25,22
2008,2008-05-26,46
2008,2008-05-27,59
2008,2008-05-28,50
2008,2008-05-29,64
2008,2008-05-30,55
2008,2008-05-31,60
2008,2008-06-01,56
2008,2008-06-02,69
2008,2008-06-03,74
2008,2008-06-04,54
2008,2008-06-05,59
2008,2008-06-06,82
2008,2008-06-07,47
2008,2008-06-08,38
2008,2008-06-09,52
2008,2008-06-10,56
2008,2008-06-11,55
2008,2008-06-12,39
2008,2008-06-13,51
2008,2008-06-14,32
2008,2008-06-15,29
2008,2008-06-16,43
2008,2008-06-17,52
2008,2008-06-18,55
2008,2008-06-19,58
2008,2008-06-20,52
2008,2008-06-21,47
2008,2008-06-22,56
2008,2008-06-23,49
2008,2008-06-24,84
2008,2008-06-25,52
2008,2008-06-26,58
2008,2008-06-27,50
2008,2008-06-28,40
2008,2008-06-29,36
2008,2008-06-30,54
2008,2008-07-01,56
2008,2008-07-02,76
2008,2008-07-03,52
2008,2008-07-04,51
2008,2008-07-05,39
2008,2008-07-06,24
2008,2008-07-07,40
2008,2008-07-08,61
2008,2008-07-09,39
2008,2008-07-10,54
2008,2008-07-11,53
2008,2008-07-12,46
2008,2008-07-13,30
2008,2008-07-14,33
2008,2008-07-15,39
2008,2008-07-16,37
2008,2008-07-17,39
2008,2008-07-18,38
2008,2008-07-19,39
2008,2008-07-20,28
2008,2008-07-21,44
2008,2008-07-22,44
2008,2008-07-23,51
2008,2008-07-24,38
2008,2008-07-25,48
2008,2008-07-26,57
2008,2008-07-27,37
2008,2008-07-28,65
2008,2008-07-29,63
2008,2008-07-30,52
2008,2008-07-31,69
2008,2008-08-01,56
2008,2008-08-02,36
2008,2008-08-03,34
2008,2008-08-04,42
2008,2008-08-05,36
2008,2008-08-06,49
2008,2008-08-07,66
2008,2008-08-08,76
2008,2008-08-09,37
2008,2008-08-10,32
2008,2008-08-11,49
2008,2008-08-12,50
2008,2008-08-13,44
2008,2008-08-14,62
2008,2008-08-15,19
2008,2008-08-16,20
2008,2008-08-17,15
2008,2008-08-18,55
2008,2008-08-19,59
2008,2008-08-20,60
2008,2008-08-21,51
2008,2008-08-22,45
2008,2008-08-23,42
2008,2008-08-24,30
2008,2008-08-25,37
2008,2008-08-26,51
2008,2008-08-27,60
2008,2008-08-28,44
2008,2008-08-29,49
2008,2008-08-30,37
2008,2008-08-31,40
2008,2008-09-01,56
2008,2008-09-02,49
2008,2008-09-03,61
2008,2008-09-04,40
2008,2008-09-05,58
2008,2008-09-06,64
2008,2008-09-07,36
2008,2008-09-08,58
2008,2008-09-09,65
2008,2008-09-10,54
2008,2008-09-11,56
2008,2008-09-12,30
2008,2008-09-13,28
2008,2008-09-14,15
2008,2008-09-15,31
2008,2008-09-16,32
2008,2008-09-17,40
2008,2008-09-18,33
